photos - 2022-03-27 00:08:46,451 - INFO - Dash is running on http://127.0.0.1:8050/

werkzeug - 2022-03-27 00:08:46,459 - INFO -  * Running on http://127.0.0.1:8050/ (Press CTRL+C to quit)
werkzeug - 2022-03-27 00:09:33,924 - INFO - 127.0.0.1 - - [27/Mar/2022 00:09:33] "GET / HTTP/1.1" 200 -
werkzeug - 2022-03-27 00:09:34,026 - INFO - 127.0.0.1 - - [27/Mar/2022 00:09:34] "GET / HTTP/1.1" 200 -
werkzeug - 2022-03-27 00:09:34,058 - INFO - 127.0.0.1 - - [27/Mar/2022 00:09:34] "GET /assets/style.css?m=1648328823.152144 HTTP/1.1" 200 -
werkzeug - 2022-03-27 00:09:34,163 - INFO - 127.0.0.1 - - [27/Mar/2022 00:09:34] "GET /_dash-dependencies HTTP/1.1" 200 -
werkzeug - 2022-03-27 00:09:38,369 - INFO - 127.0.0.1 - - [27/Mar/2022 00:09:38] "GET /_dash-layout HTTP/1.1" 200 -
werkzeug - 2022-03-27 00:09:38,392 - INFO - 127.0.0.1 - - [27/Mar/2022 00:09:38] "[36mGET /assets/logo.png HTTP/1.1[0m" 304 -
werkzeug - 2022-03-27 00:09:38,395 - INFO - 127.0.0.1 - - [27/Mar/2022 00:09:38] "[36mGET /assets/instruction.png HTTP/1.1[0m" 304 -
werkzeug - 2022-03-27 00:09:38,397 - INFO - 127.0.0.1 - - [27/Mar/2022 00:09:38] "[36mGET /assets/account_text.png HTTP/1.1[0m" 304 -
